FoodID,Food_Name_English,Food_Name_Local,Base_Item,Category,Cuisine,Scientific_Name,Description,Meal_Type,Serving_Size_g,Rasa,Virya,Vipaka,Guna,Digestibility,Dosha_Suitability,Allergen_Warnings
F000001,Mustard,Mustard (mus-loc),Mustard,Dairy,African,Mustarda,,Recipe,100,Bitter,Neutral,Sweet,Oily,Sattvic,Vata:Unfavorable;Pitta:Favorable;Kapha:Unfavorable,Milk
F000002,Coriander,Coriander,Coriander,Dairy,Chinese,Coriandera,,Breakfast,100,Salty,Heating,Sweet,Dry,Difficult,Vata:Favorable;Pitta:Neutral;Kapha:Neutral,Soy
F000003,Sauteed Potato,Sauteed Potato,Potato,Meat/Seafood,African,Potatoa,High fibre,Breakfast,100,Sour,Neutral,Sour,Rough,Difficult,Vata:Neutral;Pitta:Neutral;Kapha:Neutral,Gluten
F000004,Sugar,Sugar,Sugar,Fruit,Indian,Sugara,,Snack,30,Sour,Cooling,Pungent,Heavy,Sattvic,Vata:Neutral;Pitta:Unfavorable;Kapha:Favorable,Milk
F000005,Fermented Mustard,Fermented Mustard,Mustard,Dairy,Mediterranean,Mustarda,,Breakfast,30,Pungent,Neutral,Pungent,Light,Easy,Vata:Favorable;Pitta:Favorable;Kapha:Favorable,Eggs
F000006,Almond,Almond,Almond,Oil,Continental,Almonda,,Lunch,50,Sour,Neutral,Pungent,Light,Moderate,Vata:Neutral;Pitta:Neutral;Kapha:Neutral,Eggs
F000007,Baked Peanut,Baked Peanut (pea-loc),Peanut,Fruit,Indian,Peanuta,,Recipe,50,Pungent,Heating,Sour,Light,Sattvic,Vata:Neutral;Pitta:Unfavorable;Kapha:Unfavorable,Milk
F000008,Potato,Potato (pot-loc),Potato,Meat/Seafood,SoutheastAsian,Potatoa,,Recipe,75,Astringent,Heating,Pungent,Rough,Rajasic,Vata:Neutral;Pitta:Neutral;Kapha:Unfavorable,Nuts
F000009,Mushroom,Mushroom,Mushroom,Vegetable,South Indian,Mushrooma,,Lunch,30,Astringent,Cooling,Sour,Heavy,Easy,Vata:Neutral;Pitta:Unfavorable;Kapha:Favorable,Milk
F000010,Egg,Egg,Egg,Vegetable,South Indian,Egga,,Breakfast,30,Sour,Heating,Sweet,Heavy,Difficult,Vata:Unfavorable;Pitta:Neutral;Kapha:Neutral,None
F000011,Cow Milk,Cow Milk (cow-loc),Cow Milk,Beverage,Mediterranean,Cow Milka,Beneficial for digestion,Lunch,75,Sweet,Neutral,Pungent,Oily,Easy,Vata:Favorable;Pitta:Unfavorable;Kapha:Unfavorable,Soy
